Name,unpol.5x100_km_ACC_opt2_cut
Comment,Ralf's pseudo data for EIC.
Reference,Ralf
Process type,SIDIS
Number of points,3244
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.03
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
3688,1 - 1 - 2022,2000.0,1.9183326093250879,1.7782800679308082,2.3713730200033902,0.00226,0.00158489,0.00251189,0.171,0.15,0.2,0.0797,0.05,0.1,313000.0,2340.0,305000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
3721,1 - 1 - 2022,2000.0,1.9287301521985911,1.7782800679308082,2.3713730200033902,0.00223,0.00158489,0.00251189,0.334,0.3,0.4,0.0338,0.0,0.05,33400.0,541.0,31300.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
3722,1 - 1 - 2022,2000.0,1.9026297590440449,1.7782800679308082,2.3713730200033902,0.00221,0.00158489,0.00251189,0.346,0.3,0.4,0.0756,0.05,0.1,96100.0,918.0,83500.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
3723,1 - 1 - 2022,2000.0,1.8920887928424501,1.7782800679308082,2.3713730200033902,0.00218,0.00158489,0.00251189,0.345,0.3,0.4,0.156,0.1,0.2,142000.0,789.0,122000.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
3735,1 - 1 - 2022,2000.0,1.862793601019716,1.7782800679308082,2.3713730200033902,0.00228,0.00158489,0.00251189,0.438,0.4,0.5,0.0334,0.0,0.05,10400.0,303.0,8350.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
3736,1 - 1 - 2022,2000.0,1.9209372712298547,1.7782800679308082,2.3713730200033902,0.00214,0.00158489,0.00251189,0.439,0.4,0.5,0.0805,0.05,0.1,48000.0,649.0,8360.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
3737,1 - 1 - 2022,2000.0,1.8867962264113207,1.7782800679308082,2.3713730200033902,0.00221,0.00158489,0.00251189,0.447,0.4,0.5,0.153,0.1,0.2,77300.0,582.0,17800.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
3749,1 - 1 - 2022,2000.0,1.8466185312619388,1.7782800679308082,2.3713730200033902,0.00199,0.00158489,0.00251189,0.55,0.5,0.6,0.0361,0.0,0.05,6270.0,234.0,2090.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
3750,1 - 1 - 2022,2000.0,1.9595917942265424,1.7782800679308082,2.3713730200033902,0.00223,0.00158489,0.00251189,0.547,0.5,0.6,0.0749,0.05,0.1,37600.0,574.0,4180.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
3751,1 - 1 - 2022,2000.0,1.8841443681416772,1.7782800679308082,2.3713730200033902,0.00218,0.00158489,0.00251189,0.546,0.5,0.6,0.152,0.1,0.2,42800.0,433.0,4180.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
3752,1 - 1 - 2022,2000.0,1.905255888325765,1.7782800679308082,2.3713730200033902,0.00221,0.00158489,0.00251189,0.551,0.5,0.6,0.256,0.2,0.3,57400.0,502.0,1040.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
3763,1 - 1 - 2022,2000.0,2.0248456731316584,1.7782800679308082,2.3713730200033902,0.00236,0.00158489,0.00251189,0.65,0.6,0.7,0.0443,0.0,0.05,4180.0,191.0,0.767,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
3764,1 - 1 - 2022,2000.0,1.8708286933869707,1.7782800679308082,2.3713730200033902,0.00242,0.00158489,0.00251189,0.649,0.6,0.7,0.0687,0.05,0.1,16700.0,383.0,2090.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
3765,1 - 1 - 2022,2000.0,1.9313207915827966,1.7782800679308082,2.3713730200033902,0.00227,0.00158489,0.00251189,0.635,0.6,0.7,0.15,0.1,0.2,18800.0,287.0,3130.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
3766,1 - 1 - 2022,2000.0,1.8841443681416772,1.7782800679308082,2.3713730200033902,0.00221,0.00158489,0.00251189,0.642,0.6,0.7,0.251,0.2,0.3,33400.0,383.0,1050.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
3777,1 - 1 - 2022,2000.0,2.0074859899884734,1.7782800679308082,2.3713730200033902,0.00236,0.00158489,0.00251189,0.735,0.7,0.8,0.0428,0.0,0.05,4180.0,191.0,2090.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
3778,1 - 1 - 2022,2000.0,1.8547236990991407,1.7782800679308082,2.3713730200033902,0.00207,0.00158489,0.00251189,0.751,0.7,0.8,0.0868,0.05,0.1,4180.0,191.0,0.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
3779,1 - 1 - 2022,2000.0,1.9026297590440449,1.7782800679308082,2.3713730200033902,0.00229,0.00158489,0.00251189,0.728,0.7,0.8,0.155,0.1,0.2,6270.0,166.0,0.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
3780,1 - 1 - 2022,2000.0,1.8788294228055935,1.7782800679308082,2.3713730200033902,0.00214,0.00158489,0.00251189,0.743,0.7,0.8,0.248,0.2,0.3,11500.0,224.0,2090.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
3791,1 - 1 - 2022,2000.0,1.944222209522358,1.7782800679308082,2.3713730200033902,0.00211,0.00158489,0.00251189,0.836,0.8,0.9,0.0793,0.05,0.1,4180.0,191.0,0.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
3792,1 - 1 - 2022,2000.0,1.9364916731037085,1.7782800679308082,2.3713730200033902,0.0022,0.00158489,0.00251189,0.821,0.8,0.9,0.172,0.1,0.2,7310.0,179.0,1040.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
3793,1 - 1 - 2022,2000.0,1.8894443627691184,1.7782800679308082,2.3713730200033902,0.00211,0.00158489,0.00251189,0.844,0.8,0.9,0.228,0.2,0.3,9400.0,203.0,1040.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
3794,1 - 1 - 2022,2000.0,1.9261360284258222,1.7782800679308082,2.3713730200033902,0.00228,0.00158489,0.00251189,0.851,0.8,0.9,0.351,0.3,0.4,15700.0,262.0,2090.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
3802,1 - 1 - 2022,2000.0,2.0542638584174138,1.7782800679308082,2.3713730200033902,0.0023,0.00158489,0.00251189,0.929,0.9,1.0,0.113,0.1,0.2,2090.0,95.6,0.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
3803,1 - 1 - 2022,2000.0,1.835755975068582,1.7782800679308082,2.3713730200033902,0.00228,0.00158489,0.00251189,0.926,0.9,1.0,0.228,0.2,0.3,1040.0,67.7,0.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
3804,1 - 1 - 2022,2000.0,1.9339079605813716,1.7782800679308082,2.3713730200033902,0.00214,0.00158489,0.00251189,0.915,0.9,1.0,0.352,0.3,0.4,4180.0,135.0,0.388,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
3805,1 - 1 - 2022,2000.0,1.9519221295943134,1.7782800679308082,2.3713730200033902,0.00217,0.00158489,0.00251189,0.942,0.9,1.0,0.439,0.4,0.5,3130.0,117.0,0.0,1.0,True,0.01,0.95,10.0,4000.0,0.938,0.139
